Source,Target,Weight
A,ANS,6
AS,ANS,3
AS,A,3
BHU,ANS,2
BHU,A,7
BHU,AS,8
CB,ANS,3
CB,A,5
CB,AS,4
CB,BHU,7
CST,ANS,3
CST,A,7
CST,AS,8
CST,BHU,4
CST,CB,2
ENR,ANS,3
ENR,A,6
ENR,AS,4
ENR,BHU,1
ENR,CB,3
ENR,CST,3
EPW,ANS,4
EPW,A,5
EPW,AS,8
EPW,BHU,4
EPW,CB,6
EPW,CST,5
EPW,ENR,2
F,ANS,7
F,A,2
F,BHU,8
F,CB,8
F,CST,3
F,ENR,6
F,EPW,3
FR,A,7
FR,AS,3
FR,BHU,2
FR,CB,5
FR,CST,6
FR,ENR,3
FR,EPW,5
FR,F,4
HELP,ANS,5
HELP,A,6
HELP,AS,3
HELP,BHU,4
HELP,CB,5
HELP,CST,2
HELP,ENR,4
HELP,EPW,2
HELP,F,7
HELP,FR,4
HSGA,A,1
HSGA,AS,3
HSGA,BHU,1
HSGA,CB,4
HSGA,CST,5
HSGA,EPW,1
HSGA,F,5
HSGA,FR,4
HSGA,HELP,5
IA,ANS,2
IA,A,8
IA,BHU,5
IA,CST,5
IA,ENR,6
IA,EPW,1
IA,F,4
IA,FR,2
IA,HELP,2
IA,HSGA,1
J,ANS,5
J,A,6
J,AS,6
J,BHU,4
J,CB,6
J,CST,5
J,ENR,2
J,EPW,3
J,F,5
J,FR,4
J,HSGA,2
CRA,ANS,7
CRA,A,10
CRA,AS,3
CRA,BHU,3
CRA,CB,1
CRA,CST,7
CRA,ENR,4
CRA,EPW,3
CRA,F,3
CRA,FR,2
CRA,HELP,2
CRA,IA,2
CRA,J,5
SBE,ANS,1
SBE,A,4
SBE,AS,6
SBE,BHU,2
SBE,CB,1
SBE,CST,5
SBE,ENR,3
SBE,EPW,6
SBE,F,4
SBE,FR,10
SBE,HELP,4
SBE,HSGA,4
SBE,IA,1
SBE,J,6
VA,ANS,3
VA,A,5
VA,AS,8
VA,BHU,7
VA,CB,3
VA,CST,6
VA,ENR,4
VA,EPW,5
VA,F,2
VA,HELP,4
VA,HSGA,1
VA,IA,2
VA,J,4
VA,SBE,1
